flow_type,country,population,male_share_percent,share_of_total_flow_percent,total_flow_2024,source,source_url,original_source
Immigrants,Poland,1883559,46.9,13.8367,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Turkey,1504743,51.8,11.0539,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Ukraine,1416521,34.4,10.4058,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Russian Federation,1137448,43.1,8.3557,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Romania,968697,51.6,7.1161,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Kazakhstan,896268,47.4,6.584,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Syrian Arab Republic,860697,59.7,6.3227,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Italy,436759,59.1,3.2084,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Afghanistan,358767,62.4,2.6355,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Czech Republic,344686,41.0,2.5321,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Bulgaria,338439,50.5,2.4862,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Bosnia and Herzegovina,320423,51.0,2.3538,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Serbia,303740,49.6,2.2313,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Iran,283454,56.4,2.0823,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Croatia,271197,50.0,1.9922,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,India,267343,59.3,1.9639,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Iraq,263918,58.9,1.9387,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Greece,242582,53.1,1.782,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Austria,213019,47.1,1.5648,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Hungary,212221,49.5,1.559,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,China,168314,43.8,1.2364,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Spain,166899,48.6,1.226,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Morocco,156555,,1.1501,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,France,155932,,1.1455,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,United States of America,152501,53.6,1.1203,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,TFYR Macedonia,147204,54.4,1.0814,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
Immigrants,Viet Nam,140939,,1.0353,13612825,PopulationPyramid.net Germany Immigration Statistics 2024,https://www.populationpyramid.net/immigration-statistics/en/germany/2024/,UN DESA International Migrant Stock 2024
